Metal Scale From 1" to 11":

x-range: 0.00E0; 3.26E3
scale: linear

y-range: 2.44E3; 0.00E0
scale: linear

points: 2
no sorting
2.42E2	1.53E3
3.05E3	1.44E3

Left Inner Involute Case Wrap:

x-range: 0.00E0; 3.26E3
scale: linear

y-range: 2.44E3; 0.00E0
scale: linear

points: 98
no sorting
1.32E3	3.01E2
1.34E3	3.35E2
1.36E3	3.56E2
1.40E3	3.73E2


Wabble Crank Pin OD:

x-range: 0.00E0; 3.26E3
scale: linear

y-range: 2.44E3; 0.00E0
scale: linear

points: 10
no sorting
1.37E3	2.95E2
1.41E3	2.80E2
1.43E3	2.48E2
1.43E3	2.16E2
1.40E3	1.94E2
1.36E3	1.95E2
1.33E3	2.11E2
1.32E3	2.39E2
1.33E3	2.68E2
1.35E3	2.86E2



